product_category_name,order_purchase_timestamp,order_quantity
eletrodomesticos,2018-05-10,1
eletrodomesticos,2018-05-11,1
eletrodomesticos,2018-05-12,2
eletrodomesticos,2018-05-14,4
eletrodomesticos,2018-05-15,2
eletrodomesticos,2018-05-16,6
eletrodomesticos,2018-05-17,2
eletrodomesticos,2018-05-18,4
eletrodomesticos,2018-05-19,1
eletrodomesticos,2018-05-20,4
eletrodomesticos,2018-05-21,6
eletrodomesticos,2018-05-22,1
eletrodomesticos,2018-05-23,2
eletrodomesticos,2018-05-25,1
eletrodomesticos,2018-05-26,1
eletrodomesticos,2018-05-27,2
eletrodomesticos,2018-05-28,1
eletrodomesticos,2018-05-30,3
eletrodomesticos,2018-05-31,2
eletrodomesticos,2018-06-01,6
eletrodomesticos,2018-06-02,2
eletrodomesticos,2018-06-03,3
eletrodomesticos,2018-06-04,6
eletrodomesticos,2018-06-06,3
eletrodomesticos,2018-06-07,1
eletrodomesticos,2018-06-09,3
eletrodomesticos,2018-06-10,1
eletrodomesticos,2018-06-11,1
eletrodomesticos,2018-06-12,3
eletrodomesticos,2018-06-13,3
eletrodomesticos,2018-06-14,2
eletrodomesticos,2018-06-15,2
eletrodomesticos,2018-06-16,3
eletrodomesticos,2018-06-17,1
eletrodomesticos,2018-06-18,1
eletrodomesticos,2018-06-19,3
eletrodomesticos,2018-06-21,2
eletrodomesticos,2018-06-22,3
eletrodomesticos,2018-06-23,2
eletrodomesticos,2018-06-24,1
eletrodomesticos,2018-06-25,4
eletrodomesticos,2018-06-26,1
eletrodomesticos,2018-06-27,1
eletrodomesticos,2018-06-28,4
eletrodomesticos,2018-06-29,2
eletrodomesticos,2018-06-30,3
eletrodomesticos,2018-07-01,2
eletrodomesticos,2018-07-02,1
eletrodomesticos,2018-07-03,1
eletrodomesticos,2018-07-04,4
eletrodomesticos,2018-07-05,4
eletrodomesticos,2018-07-06,2
eletrodomesticos,2018-07-08,2
eletrodomesticos,2018-07-10,1
eletrodomesticos,2018-07-11,2
eletrodomesticos,2018-07-13,2
eletrodomesticos,2018-07-14,3
eletrodomesticos,2018-07-15,2
eletrodomesticos,2018-07-16,2
eletrodomesticos,2018-07-17,3
eletrodomesticos,2018-07-18,4
eletrodomesticos,2018-07-19,1
eletrodomesticos,2018-07-20,1
eletrodomesticos,2018-07-21,5
eletrodomesticos,2018-07-22,5
eletrodomesticos,2018-07-23,3
eletrodomesticos,2018-07-24,5
eletrodomesticos,2018-07-25,2
eletrodomesticos,2018-07-26,3
eletrodomesticos,2018-07-27,1
eletrodomesticos,2018-07-28,4
eletrodomesticos,2018-07-29,1
eletrodomesticos,2018-07-30,6
eletrodomesticos,2018-07-31,7
eletrodomesticos,2018-08-01,2
eletrodomesticos,2018-08-02,2
eletrodomesticos,2018-08-03,2
eletrodomesticos,2018-08-04,2
eletrodomesticos,2018-08-05,2
